                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3236,                 1.8043,                 1.3933,                0.69946,                0.72593,                0.75056,                 0.5601,                0.75612,                 1.1752,                0.91613,                 0.0775,                 0.0025,                 0.0025
                      1,                 1.1663,                 1.0625,                 1.2769,                0.82461,                0.76296,                0.82685,                0.58465,                  1.127,                 0.9513,                 1.0528,               0.053932,              0.0049317,              0.0049317
                      2,                 1.0455,                0.91454,                 1.1842,                0.80685,                0.83546,                 0.8731,                0.58448,                 1.1866,                0.85097,                 1.0028,               0.030192,              0.0071918,              0.0071918
                      3,                 1.0539,                0.88312,                 1.1576,                0.84679,                0.80741,                0.86742,                 0.6034,                 1.1473,                0.79821,                0.99159,                0.00901,                0.00901,                0.00901
                      4,                 1.0568,                0.92951,                  1.142,                0.79593,                0.83704,                0.85184,                0.60675,                0.94536,                0.84143,                0.91999,                0.00901,                0.00901,                0.00901
                      5,                 1.0819,                0.87861,                 1.1652,                0.81282,                0.81852,                0.85051,                0.57274,                 1.1719,                  0.878,                 1.0475,                0.00868,                0.00868,                0.00868
                      6,                 1.0744,                   0.87,                 1.1678,                 0.8368,                0.73704,                0.82863,                0.57536,                 1.1565,                0.98293,                 1.1045,                0.00835,                0.00835,                0.00835
                      7,                 1.0537,                0.82644,                 1.1585,                 0.8414,                 0.8056,                 0.8628,                0.59637,                  1.169,                0.84583,                 1.0503,                0.00802,                0.00802,                0.00802
                      8,                 1.0489,                0.82064,                 1.1507,                 0.8273,                0.81111,                0.83687,                0.52631,                 1.3591,                0.86079,                 1.1034,                0.00769,                0.00769,                0.00769
                      9,                 1.0457,                0.76637,                 1.1465,                0.84302,                0.74444,                0.83118,                0.51223,                 1.4411,                0.98842,                  1.181,                0.00736,                0.00736,                0.00736
                     10,                0.98237,                0.76331,                  1.123,                0.85941,                0.74713,                0.81417,                0.56579,                0.96581,                0.85903,                0.98205,                0.00703,                0.00703,                0.00703
                     11,                 1.0227,                 0.7855,                 1.1619,                0.87768,                0.75926,                0.84889,                0.57363,                 1.1914,                0.77577,                  1.066,                 0.0067,                 0.0067,                 0.0067
                     12,                0.98486,                0.72653,                 1.1267,                0.91999,                0.78889,                0.87014,                0.57503,                 1.1583,                0.72669,                 1.0651,                0.00637,                0.00637,                0.00637
                     13,                0.96117,                0.72312,                 1.1177,                0.88202,                0.82593,                0.87974,                0.55359,                 1.2905,                0.79776,                  1.124,                0.00604,                0.00604,                0.00604
                     14,                 0.9563,                0.68824,                 1.0931,                0.89484,                0.77037,                0.84855,                0.59199,                 1.0137,                0.71595,                0.98118,                0.00571,                0.00571,                0.00571
                     15,                0.94896,                0.67884,                 1.1103,                 0.9301,                0.78853,                0.85759,                0.51899,                 1.3266,                0.76249,                 1.1144,                0.00538,                0.00538,                0.00538
                     16,                 0.9269,                0.67415,                 1.1078,                0.89987,                0.82593,                0.86898,                0.57222,                  1.173,                0.65484,                 1.0569,                0.00505,                0.00505,                0.00505
                     17,                0.92225,                0.64559,                 1.0924,                0.90507,                0.81217,                0.86248,                 0.5936,                 1.0774,                0.67351,                 1.0192,                0.00472,                0.00472,                0.00472
                     18,                0.88102,                0.64782,                 1.0856,                0.87205,                0.86667,                0.88704,                 0.5398,                  1.404,                0.72288,                 1.1803,                0.00439,                0.00439,                0.00439
                     19,                0.89178,                 0.5989,                 1.0772,                0.88497,                0.85479,                0.89337,                0.58265,                 1.1986,                0.73508,                 1.0469,                0.00406,                0.00406,                0.00406
                     20,                0.78803,                0.56841,                0.97715,                0.88148,                0.84074,                 0.8895,                0.60705,                 1.1141,                0.61822,                 1.0114,                0.00373,                0.00373,                0.00373
                     21,                0.76238,                0.49653,                0.97272,                0.90874,                 0.8114,                 0.8791,                0.62204,                 1.0722,                0.68277,                0.99841,                 0.0034,                 0.0034,                 0.0034
                     22,                0.69915,                0.49149,                0.94909,                 0.8984,                0.82593,                0.87851,                0.64438,                0.96793,                0.60903,                0.96585,                0.00307,                0.00307,                0.00307
                     23,                0.72219,                0.44996,                 0.9433,                0.87355,                0.82222,                0.87536,                0.59368,                   1.09,                0.67581,                  1.008,                0.00274,                0.00274,                0.00274
                     24,                0.71577,                0.47312,                 0.9292,                0.85838,                 0.8306,                0.87439,                0.62221,                0.96491,                0.65172,                0.95636,                0.00241,                0.00241,                0.00241
                     25,                0.68321,                0.42749,                0.91692,                 0.8859,                0.82963,                0.88725,                0.59504,                  1.134,                0.64792,                 1.0171,                0.00208,                0.00208,                0.00208
                     26,                0.67087,                0.42032,                0.92116,                0.90868,                0.82593,                0.88629,                0.63746,                 0.9917,                  0.642,                0.97047,                0.00175,                0.00175,                0.00175
                     27,                0.66003,                0.41327,                0.91989,                0.90415,                0.83853,                0.88741,                0.62707,                  1.065,                0.61079,                 1.0033,                0.00142,                0.00142,                0.00142
                     28,                 0.6244,                0.37651,                0.91257,                0.93999,                0.81224,                0.88537,                0.62899,                 1.0666,                 0.6123,                 1.0046,                0.00109,                0.00109,                0.00109
                     29,                0.58249,                0.35755,                0.89254,                0.88458,                0.83704,                0.87964,                0.64559,                0.98282,                0.60354,                0.96225,                0.00076,                0.00076,                0.00076
